"Row ID","Order Priority","Discount","Unit Price","Shipping Cost","Customer ID","Customer Name","Ship Mode","Customer Segment","Product Category","Product Sub-Category","Product Container","Product Name","Product Base Margin","Country","Region","State or Province","City","Postal Code","Order Date","Ship Date","Order ID","Profit","Quantity ordered new","Sales","by"
23890,"High",0.05,26.48,6.93,18,"Laurie Hanna","Regular Air","Small Business","Furniture","Office Furnishings","Small Box","DAX Natural Wood-Tone Poster Frame",0.49,"United States","West","Montana","Helena",59601,2015-05-15,2015-05-16,90031,314.4813,17,455.77,"Order.ID"
24063,"Not Specified",0.07,12.99,9.44,19,"Jim Rodgers","Regular Air","Small Business","Technology","Office Machines","Medium Box","Hewlett Packard 6S Scientific Calculator",0.39,"United States","West","Montana","Missoula",59801,2015-05-21,2015-05-23,90032,-114.6399,18,231.79,"Order.ID"
5890,"High",0.05,26.48,6.93,21,"Tony Wilkins Winters","Regular Air","Small Business","Furniture","Office Furnishings","Small Box","DAX Natural Wood-Tone Poster Frame",0.49,"United States","East","New York","New York City",10012,2015-05-15,2015-05-16,41793,384.38,70,1876.69,"Order.ID"
6062,"Not Specified",0.08,5,3.39,21,"Tony Wilkins Winters","Regular Air","Small Business","Office Supplies","Rubber Bands","Wrap Bag","Advantus Plastic Paper Clips",0.37,"United States","East","New York","New York City",10012,2015-05-21,2015-05-22,42949,-17.49,58,293.06,"Order.ID"
6063,"Not Specified",0.07,12.99,9.44,21,"Tony Wilkins Winters","Regular Air","Small Business","Technology","Office Machines","Medium Box","Hewlett Packard 6S Scientific Calculator",0.39,"United States","East","New York","New York City",10012,2015-05-21,2015-05-23,42949,-114.6399,71,914.29,"Order.ID"
20631,"High",0.06,55.48,14.3,24,"Edna Thomas","Regular Air","Corporate","Office Supplies","Paper","Small Box","Xerox 194",0.37,"United States","West","California","Laguna Niguel",92677,2015-01-28,2015-01-29,87651,-28.2968,1,67.49,"Order.ID"
20632,"High",0.02,1.68,1.57,24,"Edna Thomas","Regular Air","Corporate","Office Supplies","Pens & Art Supplies","Wrap Bag","Newell 323",0.59,"United States","West","California","Laguna Niguel",92677,2015-01-28,2015-01-30,87651,-5.3072,1,2.25,"Order.ID"
23612,"High",0.01,17.98,8.51,32,"Matthew Berman","Regular Air","Corporate","Technology","Office Machines","Medium Box","Canon P1-DHIII Palm Printing Calculator",0.4,"United States","West","Oregon","Grants Pass",97526,2015-03-27,2015-03-28,89200,-35.8788,2,40.17,"Order.ID"
23278,"Medium",0.09,125.99,7.69,32,"Matthew Berman","Express Air","Corporate","Technology","Telephones and Communication","Small Box","StarTAC 3000",0.59,"United States","West","Oregon","Grants Pass",97526,2015-01-20,2015-01-22,89202,209.997,8,783.55,"Order.ID"
19355,"Low",0.06,205.99,8.99,32,"Matthew Berman","Regular Air","Corporate","Technology","Telephones and Communication","Small Box","TimeportP7382",0.56,"United States","West","Oregon","Grants Pass",97526,2015-03-12,2015-03-19,89203,3568.096,22,3838.14,"Order.ID"
23654,"Not Specified",0.03,4.24,5.41,33,"Ricky Hensley","Regular Air","Corporate","Office Supplies","Binders and Binder Accessories","Small Box","Storex DuraTech Recycled Plastic Frosted Binders",0.35,"United States","West","Oregon","Gresham",97030,2015-06-15,2015-06-17,89201,-84.4376,13,58.68,"Order.ID"
23655,"Not Specified",40,2.94,0.7,33,"Ricky Hensley","Regular Air","Corporate","Office Supplies","Pens & Art Supplies","Wrap Bag","Newell 338",0.58,"United States","West","Oregon","Gresham",97030,2015-06-15,2015-06-16,89201,24.312,18,53.1,"Order.ID"
25933,"High",0,99.99,19.99,43,"Theodore Moran","Regular Air","Consumer","Technology","Office Machines","Small Box","AT&T 2230 Dual Handset Phone With Caller ID/Call Waiting",0.52,"United States","West","Washington","Redmond",98052,2015-05-10,2015-05-11,91454,25.91382,6,647.07,"Order.ID"
22117,"Critical",0.07,3502.14,8.73,53,"Sidney Russell Austin","Delivery Truck","Corporate","Technology","Office Machines","Jumbo Box","Okidata Pacemark 4410N Wide Format Dot Matrix Printer",0.57,"United States","West","Washington","Redmond",98052,2015-01-28,2015-01-30,88425,-6923.5992,1,3267.55,"Order.ID"
18552,"Not Specified",0.02,5.98,5.79,53,"Sidney Russell Austin","Regular Air","Corporate","Office Supplies","Paper","Small Box","Xerox 1903",0.36,"United States","West","Washington","Redmond",98052,2015-03-10,2015-03-11,88426,-67.49,17,110.19,"Order.ID"
20697,"Medium",0.06,3.8,1.49,56,"Randall Montgomery","Regular Air","Consumer","Office Supplies","Binders and Binder Accessories","Small Box","Durable Pressboard Binders",0.38,"United States","East","New York","Tonawanda",14150,2015-04-20,2015-04-21,88075,19.6282,20,73.55,"Order.ID"
20698,"Medium",0.06,1.76,0.7,56,"Randall Montgomery","Regular Air","Consumer","Office Supplies","Pens & Art Supplies","Wrap Bag","Newell 310",0.56,"United States","East","New York","Tonawanda",14150,2015-04-20,2015-04-21,88075,-1.6524,17,29.57,"Order.ID"
22890,"High",0.02,5.98,5.15,62,"Pam Gilbert","Regular Air","Corporate","Office Supplies","Paper","Small Box","Xerox 193",0.36,"United States","Central","Texas","Round Rock",78664,2015-05-09,2015-05-11,87407,2.14,3,22.85,"Order.ID"
25354,"High",0.04,29.14,4.86,62,"Pam Gilbert","Regular Air","Corporate","Office Supplies","Paper","Wrap Bag","Snap-A-Way® Black Print Carbonless Speed Message, No Reply Area, Duplicate",0.38,"United States","Central","Texas","Round Rock",78664,2015-06-12,2015-06-14,87408,349.4091,17,506.39,"Order.ID"
21017,"Not Specified",0,3.69,0.5,64,"Lynn Morrow","Regular Air","Small Business","Office Supplies","Labels","Small Box","Avery 501",0.38,"United States","South","Virginia","Salem",24153,2015-03-02,2015-03-04,87406,-37.5291,1,4,"Order.ID"
21019,"Not Specified",0.02,175.99,4.99,64,"Lynn Morrow","Express Air","Small Business","Technology","Telephones and Communication","Small Box","5165",0.59,"United States","South","Virginia","Salem",24153,2015-03-02,2015-03-02,87406,101.49,4,589.8,"Order.ID"
23274,"Low",0.05,155.06,7.07,67,"Ellen McCormick","Regular Air","Corporate","Office Supplies","Storage & Organization","Small Box","Dual Level, Single-Width Filing Carts",0.59,"United States","West","California","Napa",94559,2015-01-02,2015-01-09,87946,845.664,8,1225.6,"Order.ID"
5272,"Low",0,291.73,48.8,68,"Scott Bunn","Delivery Truck","Corporate","Furniture","Chairs & Chairmats","Jumbo Drum","Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs",0.56,"United States","East","New York","New York City",10177,2015-01-02,2015-01-02,37537,-308.928,4,1239.06,"Order.ID"
5273,"Low",0.07,100.98,45,68,"Scott Bunn","Delivery Truck","Corporate","Furniture","Chairs & Chairmats","Jumbo Drum","Hon Valutask™ Swivel Chairs",0.69,"United States","East","New York","New York City",10177,2015-01-02,2015-01-04,37537,-1679.76,43,4083.19,"Order.ID"
5274,"Low",0.05,155.06,7.07,68,"Scott Bunn","Regular Air","Corporate","Office Supplies","Storage & Organization","Small Box","Dual Level, Single-Width Filing Carts",0.59,"United States","East","New York","New York City",10177,2015-01-02,2015-01-09,37537,575.396,32,4902.38,"Order.ID"
7786,"High",0.09,122.99,70.2,68,"Scott Bunn","Delivery Truck","Corporate","Furniture","Chairs & Chairmats","Jumbo Drum","Global High-Back Leather Tilter, Burgundy",0.74,"United States","East","New York","New York City",10177,2015-02-02,2015-02-04,55713,-2426.55,49,5718.85,"Order.ID"
25786,"High",0.09,122.99,70.2,70,"Annette Boone","Delivery Truck","Corporate","Furniture","Chairs & Chairmats","Jumbo Drum","Global High-Back Leather Tilter, Burgundy",0.74,"United States","East","Vermont","Burlington",5401,2015-02-02,2015-02-04,87947,-2426.55,12,1400.53,"Order.ID"
18281,"High",0.04,296.18,54.12,83,"Edgar Stone","Delivery Truck","Corporate","Furniture","Tables","Jumbo Box","Hon 94000 Series Round Tables",0.76,"United States","East","Ohio","Canton",44708,2015-03-15,2015-03-15,87365,-715.778206,6,1821.89,"Order.ID"
23639,"Not Specified",0,8.09,7.96,84,"Helen Stein","Regular Air","Consumer","Furniture","Office Furnishings","Small Box","6"" Cubicle Wall Clock, Black",0.49,"United States","East","Ohio","Cincinnati",45231,2015-02-02,2015-02-03,87364,-144.56,11,90.98,"Order.ID"
23880,"High",0.08,896.99,19.99,84,"Helen Stein","Regular Air","Corporate","Office Supplies","Binders and Binder Accessories","Small Box","GBC DocuBind TL300 Electric Binding System",0.38,"United States","East","Ohio","Cincinnati",45231,2015-03-30,2015-04-02,87366,7402.32,13,10728,"Order.ID"
24663,"Low",0.05,161.55,19.99,87,"Norman Shields","Regular Air","Corporate","Office Supplies","Storage & Organization","Small Box","Fellowes Super Stor/Drawer® Files",0.66,"United States","West","California","Vacaville",95687,2015-06-03,2015-06-08,90596,1892.424,19,3127.69,"Order.ID"
23841,"High",0.09,4.91,0.5,87,"Norman Shields","Regular Air","Corporate","Office Supplies","Labels","Small Box","Avery 493",0.36,"United States","West","California","Vacaville",95687,2015-03-22,2015-03-23,90597,28.8558,9,41.82,"Order.ID"
23842,"High",0.01,296.18,54.12,87,"Norman Shields","Delivery Truck","Corporate","Furniture","Tables","Jumbo Box","Hon 94000 Series Round Tables",0.76,"United States","West","California","Vacaville",95687,2015-03-22,2015-03-25,90597,173.48,9,2875.72,"Order.ID"
23071,"High",0.07,19.84,4.1,91,"Wallace Werner","Regular Air","Home Office","Office Supplies","Pens & Art Supplies","Wrap Bag","Prismacolor Color Pencil Set",0.44,"United States","West","California","Vallejo",94591,2015-05-17,2015-05-18,87175,117.852,9,170.8,"Order.ID"
19877,"Medium",0.05,5.18,2.04,91,"Wallace Werner","Regular Air","Home Office","Office Supplies","Paper","Wrap Bag","Array® Memo Cubes",0.36,"United States","West","California","Vallejo",94591,2015-02-18,2015-02-20,87176,34.0104,10,53.54,"Order.ID"
19611,"Medium",0.06,175.99,8.99,91,"Wallace Werner","Regular Air","Corporate","Technology","Telephones and Communication","Small Box","2180",0.57,"United States","West","California","Vallejo",94591,2015-03-04,2015-03-06,87177,2031.507,23,3363.53,"Order.ID"
23069,"High",0.07,8.34,1.43,92,"Victoria Baker Hoover","Regular Air","Home Office","Office Supplies","Paper","Wrap Bag","REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",0.35,"United States","South","Louisiana","Terrytown",70056,2015-05-17,2015-05-19,87175,-190.68,16,132.08,"Order.ID"
23070,"High",0.09,4.98,6.07,92,"Victoria Baker Hoover","Regular Air","Home Office","Office Supplies","Paper","Small Box","Xerox 1897",0.36,"United States","South","Louisiana","Terrytown",70056,2015-05-17,2015-05-18,87175,325.398,9,45.34,"Order.ID"
23203,"Medium",0.04,12.98,3.14,92,"Victoria Baker Hoover","Express Air","Corporate","Office Supplies","Scissors, Rulers and Trimmers","Small Pack","Acme® 8"" Straight Scissors",0.6,"United States","South","Louisiana","Terrytown",70056,2015-06-07,2015-06-09,87178,22.818,16,216.04,"Order.ID"
6243,"Not Specified",0.04,160.98,30,94,"Eddie House Mueller","Delivery Truck","Home Office","Furniture","Chairs & Chairmats","Jumbo Drum","Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms",0.62,"United States","Central","Illinois","Chicago",60601,2015-05-03,2015-05-05,44231,116.1,37,6276.34,"Order.ID"
6244,"Not Specified",0.01,17.98,4,94,"Eddie House Mueller","Regular Air","Home Office","Technology","Computer Peripherals","Small Box","Belkin 107-key enhanced keyboard, USB/PS/2 interface",0.79,"United States","Central","Illinois","Chicago",60601,2015-05-03,2015-05-05,44231,-87.96,146,2664.4,"Order.ID"
24243,"Not Specified",0.04,160.98,30,97,"Max McKenna","Delivery Truck","Home Office","Furniture","Chairs & Chairmats","Jumbo Drum","Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms",0.62,"United States","Central","Kansas","Manhattan",66502,2015-05-03,2015-05-05,87306,255.42,9,1526.68,"Order.ID"
24245,"Not Specified",0.06,115.99,8.99,97,"Max McKenna","Regular Air","Home Office","Technology","Telephones and Communication","Small Box","5185",0.58,"United States","Central","Kansas","Manhattan",66502,2015-05-03,2015-05-04,87306,685.6146,20,1952.56,"Order.ID"
18494,"Medium",0.1,19.98,4,101,"Claudia Boyle","Regular Air","Consumer","Technology","Computer Peripherals","Small Box","Belkin 105-Key Black Keyboard",0.68,"United States","East","Maine","Biddeford",4005,2015-06-22,2015-06-24,88205,-16.2,16,303.59,"Order.ID"
6014,"Medium",0.04,300.98,54.92,102,"Caroline Johnston","Delivery Truck","Consumer","Furniture","Bookcases","Jumbo Box","Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",0.55,"United States","East","Massachusetts","Boston",2129,2015-04-06,2015-04-07,42599,2023.75,31,9459.94,"Order.ID"
494,"Medium",0.1,19.98,4,102,"Caroline Johnston","Regular Air","Consumer","Technology","Computer Peripherals","Small Box","Belkin 105-Key Black Keyboard",0.68,"United States","East","Massachusetts","Boston",2129,2015-06-22,2015-06-24,3397,-20.25,65,1233.32,"Order.ID"
24014,"Medium",0.04,300.98,54.92,107,"Lois Hamilton","Delivery Truck","Consumer","Furniture","Bookcases","Jumbo Box","Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",0.55,"United States","East","New Hampshire","Dover",3820,2015-04-06,2015-04-07,88204,1684.4763,8,2441.27,"Order.ID"
18495,"Medium",0.09,2.88,1.49,109,"Tom McFarland","Regular Air","Consumer","Office Supplies","Binders and Binder Accessories","Small Box","Avery Durable Binders",0.36,"United States","East","New Jersey","Lodi",7644,2015-06-22,2015-06-23,88205,-2.7048,4,11.13,"Order.ID"
19074,"High",0.03,4.26,1.2,114,"Ron Newton","Regular Air","Home Office","Office Supplies","Pens & Art Supplies","Wrap Bag","Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",0.44,"United States","West","Oregon","Lake Oswego",97035,2015-01-03,2015-01-04,89583,18.658,7,29.5,"Order.ID"
19950,"Medium",0.01,4.91,0.5,114,"Ron Newton","Regular Air","Home Office","Office Supplies","Labels","Small Box","Avery 493",0.36,"United States","West","Oregon","Lake Oswego",97035,2015-04-04,2015-04-06,89584,40.2477,12,58.33,"Order.ID"
19951,"Medium",0.09,4,1.3,114,"Ron Newton","Express Air","Home Office","Office Supplies","Paper","Wrap Bag","EcoTones® Memo Sheets",0.37,"United States","West","Oregon","Lake Oswego",97035,2015-04-04,2015-04-06,89584,14.0898,5,20.42,"Order.ID"
26241,"Low",0.07,2.12,1.99,115,"Dwight M Carr","Regular Air","Home Office","Technology","Computer Peripherals","Small Pack","Fuji Slim Jewel Case CD-R",0.55,"United States","West","Oregon","Mcminnville",97128,2015-04-09,2015-04-11,89585,-55.84,12,26.07,"Order.ID"
1074,"High",0.03,4.26,1.2,117,"Linda Weiss","Regular Air","Home Office","Office Supplies","Pens & Art Supplies","Wrap Bag","Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",0.44,"United States","West","Washington","Seattle",98103,2015-01-03,2015-01-04,7909,9.82,29,122.23,"Order.ID"
1950,"Medium",0.01,4.91,0.5,117,"Linda Weiss","Regular Air","Home Office","Office Supplies","Labels","Small Box","Avery 493",0.36,"United States","West","Washington","Seattle",98103,2015-04-04,2015-04-06,13959,112.06,47,228.46,"Order.ID"
1951,"Medium",0.09,4,1.3,117,"Linda Weiss","Express Air","Home Office","Office Supplies","Paper","Wrap Bag","EcoTones® Memo Sheets",0.37,"United States","West","Washington","Seattle",98103,2015-04-04,2015-04-06,13959,16.79,19,77.61,"Order.ID"
8241,"Low",0.07,2.12,1.99,117,"Linda Weiss","Regular Air","Home Office","Technology","Computer Peripherals","Small Pack","Fuji Slim Jewel Case CD-R",0.55,"United States","West","Washington","Seattle",98103,2015-04-09,2015-04-11,58914,-55.84,46,99.94,"Order.ID"
20688,"High",0.05,6.3,0.5,120,"Helen H Murphy","Regular Air","Corporate","Office Supplies","Labels","Small Box","Avery 51",0.39,"United States","West","Utah","Layton",84041,2015-01-12,2015-01-13,86520,41.2965,10,59.85,"Order.ID"
20689,"High",0.09,205.99,3,120,"Helen H Murphy","Express Air","Corporate","Technology","Telephones and Communication","Small Box","6185",0.58,"United States","West","Utah","Layton",84041,2015-01-12,2015-01-14,86520,1179.0237,10,1708.73,"Order.ID"
19942,"Critical",0.06,8.57,6.14,123,"Shawn Stern","Regular Air","Home Office","Office Supplies","Scissors, Rulers and Trimmers","Small Pack","Acme® Office Executive Series Stainless Steel Trimmers",0.59,"United States","South","Virginia","Tysons Corner",22102,2015-04-09,2015-04-10,90669,105.678,11,94.97,"Order.ID"
24319,"Not Specified",0.02,1.74,4.08,129,"Kara Allison","Regular Air","Small Business","Furniture","Office Furnishings","Small Pack","Eldon Regeneration Recycled Desk Accessories, Smoke",0.53,"United States","Central","Illinois","Alton",62002,2015-01-27,2015-01-28,86693,-37.39,5,10.23,"Order.ID"
18161,"Not Specified",0.07,15.74,1.39,129,"Kara Allison","Regular Air","Small Business","Office Supplies","Envelopes","Small Box","#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",0.4,"United States","Central","Illinois","Alton",62002,2015-05-25,2015-05-26,86694,149.8887,14,217.23,"Order.ID"
25762,"Critical",0.04,18.97,9.54,136,"Dale Gillespie","Regular Air","Small Business","Office Supplies","Paper","Small Box","Xerox 1939",0.37,"United States","West","California","Petaluma",94952,2015-05-16,2015-05-17,88534,3.04,5,101.74,"Order.ID"
25764,"Critical",0.09,10.98,3.37,136,"Dale Gillespie","Regular Air","Small Business","Office Supplies","Scissors, Rulers and Trimmers","Small Pack","Fiskars® Softgrip Scissors",0.57,"United States","West","California","Petaluma",94952,2015-05-16,2015-05-17,88534,2.706,8,84.52,"Order.ID"
24803,"Critical",0.03,22.84,11.54,142,"Brooke Weeks Taylor","Regular Air","Small Business","Office Supplies","Paper","Small Box","Xerox 1964",0.39,"United States","East","Connecticut","Ansonia",6401,2015-06-02,2015-06-03,91087,91.956,13,312.59,"Order.ID"
24805,"Critical",0.05,10.98,3.37,144,"Marguerite Moss","Regular Air","Small Business","Office Supplies","Scissors, Rulers and Trimmers","Small Pack","Fiskars® Softgrip Scissors",0.57,"United States","East","Massachusetts","Yarmouth",2664,2015-06-02,2015-06-03,91087,-2.544,6,64.4,"Order.ID"
24849,"Medium",0.06,7.04,2.17,145,"Rhonda Ivey","Regular Air","Small Business","Office Supplies","Paper","Wrap Bag","Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",0.38,"United States","East","Pennsylvania","West Mifflin",15122,2015-01-15,2015-01-17,91086,2.4852,2,14.65,"Order.ID"
25582,"Low",0.07,154.13,69,145,"Rhonda Ivey","Express Air","Home Office","Furniture","Tables","Large Box","Laminate Occasional Tables",0.68,"United States","East","Pennsylvania","West Mifflin",15122,2015-03-16,2015-03-16,91089,-634.7341,3,453.62,"Order.ID"
23365,"Not Specified",0.01,45.98,4.8,146,"Yvonne Fox","Regular Air","Small Business","Furniture","Office Furnishings","Wrap Bag","Tenex B1-RE Series Chair Mats for Low Pile Carpets",0.68,"United States","Central","Texas","Watauga",76148,2015-03-12,2015-03-13,91088,133.5771,4,193.59,"Order.ID"
22907,"Medium",0.06,180.98,26.2,146,"Yvonne Fox","Delivery Truck","Corporate","Furniture","Chairs & Chairmats","Jumbo Drum","Global Ergonomic Managers Chair",0.59,"United States","Central","Texas","Watauga",76148,2015-04-23,2015-04-24,91090,251.4084,5,929.57,"Order.ID"
19058,"Critical",0.09,32.98,5.5,151,"Geoffrey Zhu","Regular Air","Home Office","Technology","Computer Peripherals","Small Box","PC Concepts 116 Key Quantum 3000 Keyboard",0.75,"United States","South","Tennessee","Kingsport",37664,2015-01-22,2015-01-23,89521,-20.258,2,62.46,"Order.ID"
20679,"High",0.09,5.98,2.5,151,"Geoffrey Zhu","Regular Air","Home Office","Office Supplies","Envelopes","Small Box","Wausau Papers Astrobrights® Colored Envelopes",0.36,"United States","South","Tennessee","Kingsport",37664,2015-04-20,2015-04-22,89523,13.896,5,28.11,"Order.ID"
21103,"Critical",0.09,2.88,0.7,152,"Kent Kerr","Regular Air","Consumer","Office Supplies","Pens & Art Supplies","Wrap Bag","Newell 335",0.56,"United States","South","Tennessee","Knoxville",37918,2015-01-15,2015-01-16,89520,-172.718,2,5.5,"Order.ID"
22243,"Low",0.01,79.52,48.2,152,"Kent Kerr","Regular Air","Home Office","Furniture","Office Furnishings","Medium Box","Eldon Cleatmat Plus™ Chair Mats for High Pile Carpets",0.74,"United States","South","Tennessee","Knoxville",37918,2015-04-19,2015-04-26,89522,-40.684,8,667.84,"Order.ID"
21767,"High",0.01,65.99,8.99,152,"Kent Kerr","Regular Air","Consumer","Technology","Telephones and Communication","Small Box","StarTAC Analog",0.6,"United States","South","Tennessee","Knoxville",37918,2015-03-29,2015-04-01,89524,97.86,5,292.23,"Order.ID"
22470,"Low",0.1,39.98,4,152,"Kent Kerr","Regular Air","Small Business","Technology","Computer Peripherals","Small Box","Microsoft Natural Keyboard Elite",0.7,"United States","South","Tennessee","Knoxville",37918,2015-06-18,2015-06-22,89525,360.24,21,772.56,"Order.ID"
22329,"Critical",0.01,95.99,4.9,156,"Diana Xu","Regular Air","Corporate","Technology","Telephones and Communication","Small Box","T60",0.56,"United States","West","Colorado","Fort Collins",80525,2015-05-14,2015-05-15,87671,713.88,13,1050.08,"Order.ID"
20324,"High",0.03,10.89,4.5,156,"Diana Xu","Regular Air","Corporate","Office Supplies","Appliances","Small Box","Belkin 6 Outlet Metallic Surge Strip",0.59,"United States","West","Colorado","Fort Collins",80525,2015-01-25,2015-01-26,87672,-18.64,3,33.82,"Order.ID"
26102,"Medium",0.05,100.98,35.84,164,"Robin Kramer Vaughn","Delivery Truck","Home Office","Furniture","Bookcases","Jumbo Box","Bush Westfield Collection Bookcases, Fully Assembled",0.62,"United States","West","Washington","Richland",99352,2015-01-02,2015-01-04,89961,-111.4,7,715.55,"Order.ID"
26103,"Medium",0.02,4.98,5.49,164,"Robin Kramer Vaughn","Regular Air","Home Office","Office Supplies","Paper","Small Box","Xerox 1952",0.38,"United States","West","Washington","Richland",99352,2015-01-02,2015-01-03,89961,-77.03,9,45.63,"Order.ID"
21040,"Low",0.08,399.98,12.06,166,"Vicki Hauser","Delivery Truck","Consumer","Technology","Office Machines","Jumbo Box","Okidata ML320 Series Turbo Dot Matrix Printers",0.56,"United States","South","Tennessee","Lebanon",37087,2015-01-11,2015-01-18,89426,28.5141,5,1839.91,"Order.ID"
19315,"Low",0.08,43.22,16.71,169,"Janice Cole","Regular Air","Corporate","Technology","Computer Peripherals","Small Box","Fellowes Mobile Numeric Keypad, Graphite",0.66,"United States","South","Louisiana","Baton Rouge",70802,2015-01-03,2015-01-05,87463,280.27458,3,130.62,"Order.ID"
19316,"Low",0.05,574.74,24.49,169,"Janice Cole","Regular Air","Corporate","Technology","Office Machines","Large Box","Polycom ViaVideo™ Desktop Video Communications Unit",0.37,"United States","South","Louisiana","Baton Rouge",70802,2015-01-03,2015-01-10,87463,-112.4263,12,6945.16,"Order.ID"
19317,"Low",0.04,10.14,2.27,169,"Janice Cole","Regular Air","Corporate","Office Supplies","Paper","Wrap Bag","Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",0.36,"United States","South","Louisiana","Baton Rouge",70802,2015-01-03,2015-01-07,87463,24.924,3,30.94,"Order.ID"
19314,"Critical",0.05,1.88,1.49,171,"Christina Matthews","Regular Air","Corporate","Office Supplies","Binders and Binder Accessories","Small Box","Staples® General Use 3-Ring Binders",0.37,"United States","East","New Jersey","Fort Lee",7024,2015-04-13,2015-04-15,87464,-2.9095,1,3.42,"Order.ID"
5361,"Critical",0.02,49.99,19.99,181,"Wesley Waller","Regular Air","Small Business","Technology","Computer Peripherals","Small Box","Zoom V.92 USB External Faxmodem",0.41,"United States","West","California","San Francisco",94122,2015-02-21,2015-02-21,38087,-76.89,18,901.81,"Order.ID"
522,"High",0.07,1.68,1.57,181,"Wesley Waller","Regular Air","Corporate","Office Supplies","Pens & Art Supplies","Wrap Bag","Newell 323",0.59,"United States","West","California","San Francisco",94122,2015-05-22,2015-05-23,3585,-35.75,116,186.59,"Order.ID"
23361,"Critical",0.02,49.99,19.99,184,"Phillip Holmes","Regular Air","Small Business","Technology","Computer Peripherals","Small Box","Zoom V.92 USB External Faxmodem",0.41,"United States","East","Massachusetts","Arlington",2474,2015-02-21,2015-02-21,88360,-76.89,5,250.5,"Order.ID"
